NAME,ID,nbh_distri,category,Shape_Area_1,grade,redlined,AVG_WALK,Avg_Vul,AVG_POC,AVG_INC,Shape_Length,Shape_Area
RICHMOND,73,3,Hazardous,2359869.233,D,1,75.61078305,19.44670076,19.24583331,77525.82877,7679.406543,6739260.429
FOREST PARK,29,4,Still Desirable,291394.9561,B,0,5.945861463,21.68661284,26.85343375,117921.8124,6700.317538,95515327.45
HILLSIDE,40,4,Best,570469.4596,A,0,33.97123934,10.33956684,21.32406405,120360.3688,6514.39562,3720459.186
NORTHWEST DISTRICT,62,4,Hazardous,2047155.32,D,1,63.82625319,38.2699652,25.22123365,71465.83026,9133.507064,8225181.224
ST. JOHNS,81,2,Definitely Declining,3320702.841,C,0,15.4838466,76.61995989,50.79699314,51575.26057,13144.13475,58544790.11
KENTON,46,2,Still Desirable,2283380.153,B,0,31.73583234,69.26882956,44.94412681,57434.6301,7958.015687,18226592.24
PORTSMOUTH,18,2,Definitely Declining,1698331.082,C,0,70.51822506,78.82458635,50.80032075,44966.82,8056.939514,5722844.45
NORTHWEST HEIGHTS,63,4,,,,0,20.09859564,28.76860624,41.05512171,109661.7561,,7240624.587
PARKROSE HEIGHTS,68,1,,,,0,49.19945466,82.96894686,45.00596784,44139.31093,,5140902.314
RUSSELL,76,1,,,,0,48.43418088,67.01336072,29.86318924,48869.55075,,4216286.329
WOODLAND PARK,92,1,,,,0,48.74742723,84.33109223,45.23023276,45169.90313,,253250.8073
GLENFAIR,32,1,,,,0,54.99229919,87.01460446,56.2054107,33500.23264,,1674190.171
MAPLEWOOD,54,4,,,,0,41.59329605,22.00528276,12.70140036,89732.18068,,3260597.707
MARKHAM,55,4,,,,0,35.14754775,24.01182899,24.23678343,90380.37893,,2733025.498
MARSHALL PARK,56,4,,,,0,22.5260197,27.98427302,29.7910363,97655.32944,,3213765.47
WEST PORTLAND PARK,90,4,,,,0,41.95729563,56.57175749,27.20916535,62185.01494,,3838629.959
ARNOLD CREEK,6,4,,,,0,22.84002721,28.3023404,30.3096598,95916.73742,,5770165.799
FAR SOUTHWEST,28,4,,,,0,33.52140078,46.04676136,23.23129247,69820.20584,,3133419.072
LINNTON,51,4,,,,0,7.749290107,17.74913747,15.366409,82196.98765,,50153169.51
ASHCREEK-CRESTWOOD,96,4,,,,0,30.49093622,16.28009184,16.36010058,88004.62467,,8092108.969
PLEASANT VALLEY,71,1,,,,0,16.57869299,63.39239629,37.55456314,55863.01583,,35258855.28
CENTENNIAL,15,1,,,,0,46.76093839,92.44023606,44.65972912,38718.92159,,17211064.62
MILL PARK,57,1,,,,0,54.2069261,91.50567731,48.06079152,42403.02587,,5582748.459
WILKES,91,1,,,,0,28.1984957,77.49438152,44.95810249,44101.92066,,16277942.4
ARGAY TERRACE,4,1,,,,0,34.88601891,93.15742638,45.85203795,33425.07988,,10910067.41
SUNDERLAND,85,"1,2",,,,0,18.03584391,94.39296764,45.70338327,32296.72218,,9322957.921
HAYDEN ISLAND,35,2,,,,0,7.831215317,64.28155044,32.92073995,54118.95935,,15792580.42
BRIDGETON,11,2,,,,0,24.6914861,76.8377576,51.06542631,55001.78356,,1433718.752
EAST COLUMBIA,25,2,,,,0,21.93849539,76.91312292,51.06357731,54920.80311,,12058728.21
